ROWID_OBJECT,CREATOR,CREATE_DATE,UPDATED_BY,LAST_UPDATE_DATE,CONSOLIDATION_IND,DELETED_IND,DELETED_BY,DELETED_DATE,LAST_ROWID_SYSTEM,DIRTY_IND,INTERACTION_ID,HUB_STATE_IND,CM_DIRTY_IND,PRODUCT_ID_CD,UOM,PRODUCT_CATEGORY,PRODUCT_ITEM,PRODUCT_CLASSIFICATION_CD,BRAND_CD,IMP_DOM_INDICATOR,MATERIAL_TYPE,HS_CD,BRAND_LINE,COLOR_NM,MATERIAL_NM,S_CLASS_CD,SIZE_CD,T_CLASS_CD,TYPE_CD,GENDER_CD,PRODUCT_LIFE_CD,QUANTITY_WITHIN_SET,BOARD_BANNED_YN,INTERNET_SALES_YN,FLAMMABLE_YN,NATION_CD,WEIGHT,WEIGHT_UNIT,VOLUME_LENGTH,VOLUME_WIDTH,VOLUME_HEIGHT,VOLUME_MEA_UNIT,VOLUME,VOLUME_UNIT,QUANTITY_WITHIN_BOX,QUANTITY_WITHIN_BOX_UNIT,QUANTITY_WITHIN_PACK,QUANTITY_WITHIN_PACK_UNIT,MANUF_CD,G_KINDS_CLS,G_KINDS_CD,G_FOODCLASS_CD,G_AGE_CD,F_COLOR_TYPE_CD,F_SKIN_TYPE_CD,F_SPF_INDEX_CD,F_PRODUCTION_TYPE_CLS,F_PRODUCTION_TYPE_CD,F_HAIR_TYPE_CD,F_FLAVOR_TYPE_CD,F_AGE_CD,F_SHEET_TYPE_CD,F_BRUSH_TYPE_CD,F_WATERP_CD,F_INCH_CD,F_BAND_CD,F_MOVEMENT_CD,F_SIZE_CD,F_PEN_CD,F_PENPOINT_CD,F_VOLTAGE_CD,F_PIXELS_CD,F_SCREEN_SIZE_CD,F_PLAY_VIDEO_YN_CD,F_OPTICAL_ZOOM_CD,F_RESVD_1,F_RESVD_2,F_RESVD_3,F_RESVD_4,F_RESVD_5,F_RESVD_6,F_RESVD_7,F_RESVD_8,F_RESVD_9,F_RESVD_10,USE_FG,CRE_TIMESTAMP,UDT_TIMESTAMP,CRE_ID,UDT_ID,DUP_CHK,CHG_REASON,FTC_CD,LIQUID_YN
5322,admin,2015/12/28 오전 10:40:16.897000,admin,2017/01/19 오전 0:00:04.577000,4,,,,MDM ,,,1,,000814002390,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,645,PVC,,,,,02,01,0000,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,,,,,FNA001,101|101,101|101|102,,,104|125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,06-01-2016 11:31:58,RFC_MDM_E,170015,141013|0008|LEPLIAGE|1621089645|645|PVC|02||||,,12,N
5324,admin,2015/12/28 오전 10:40:16.897000,admin,2017/01/19 오전 0:00:04.614000,4,,,,MDM ,,,1,,000814002401,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,645,PVC,,,,,02,01,0000,036|N,037|Y,038|N,ZZ,0,G,0,0,0,CM,0,CCM,,,,,,101|101,101|101|102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141013|0008|LEPLIAGE|1623089645|645|PVC|02||||,,12,N
5326,admin,2015/12/28 오전 10:40:16.897000,admin,2017/01/19 오전 0:00:04.648000,4,,,,MDM ,,,1,,000814002410,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,645,PVC,,,,,02,01,,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,,,,,FNA001,101|101,101|101|102,,,104|125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,06-01-2016 11:27:55,RFC_MDM_E,170015,141013|0008|LEPLIAGE|1624089645|645|PVC|02||||,,12,N
5328,admin,2015/12/28 오전 10:40:16.898000,admin,2017/01/19 오전 0:00:04.677000,4,,,,MDM ,,,1,,000814002421,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,645,PVC,,,,,02,01,0000,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,101|101,101|101|102,,,104|125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,06-16-2011 00:00:00,01-12-2017 09:57:20,RFC_MDM_E,170015,141013|0008|LEPLIAGE|1899089645|645|PVC|02||||,,12,N
5330,admin,2015/12/28 오전 10:40:16.898000,admin,2017/01/19 오전 0:00:04.703000,4,,,,MDM ,,,1,,000814002663,EA,14,1410,141012,0008,041|0,Z001,4202211090,VEAU FOULONNE,504.0,LEATHER,,,,,02,01,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,07-05-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141012|0008|VEAUFOULONNE|2271021504|504.0|LEATHER|02||||,,12,N
5332,admin,2015/12/28 오전 10:40:16.898000,admin,2017/01/19 오전 0:00:04.729000,4,,,,MDM ,,,1,,000814002668,EA,14,1410,141012,0008,041|0,Z001,4202211090,VEAU FOULONNE,504.0,LEATHER,,,,,02,01,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,07-05-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141012|0008|VEAUFOULONNE|2558021504|504.0|LEATHER|02||||,,12,N
5334,admin,2015/12/28 오전 10:40:16.898000,admin,2017/01/19 오전 0:00:04.755000,4,,,,MDM ,,,1,,000814002761,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,556.0,PVC,,,,,01,04,0000,036|N,037|Y,038|N,ZZ,0,G,0,0,0,CM,0,CCM,,,,,,101|101,101|101|102,,,104|106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,12-23-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141013|0008|LEPLIAGE|1899089556|556.0|PVC|01||||,,12,N
5336,admin,2015/12/28 오전 10:40:16.899000,admin,2017/01/19 오전 0:00:04.780000,4,,,,MDM ,,,1,,000814002762,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,841.0,PVC,,,,,01,04,0000,036|N,,038|N,,0,G,0,0,0,CM,0,CCM,,,,,FNA001,101|101,101|101|102,,,104|117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,12-23-2011 00:00:00,01-12-2017 09:56:34,RFC_MDM_E,170015,141013|0008|LEPLIAGE|1899089841|841.0|PVC|01||||,,12,N
5338,admin,2015/12/28 오전 10:40:16.899000,admin,2017/01/19 오전 0:00:04.805000,4,,,,MDM ,,,1,,000814002763,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,897.0,PVC,,,,,01,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,12-23-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141013|0008|LEPLIAGE|1899089897|897.0|PVC|01||||,,12,N
5340,admin,2015/12/28 오전 10:40:16.899000,admin,2017/01/19 오전 0:00:04.832000,4,,,,MDM ,,,1,,000814002764,EA,14,1430,143011,0008,041|0,Z001,4202121010,LE PLIAGE,1.0,PVC,,,,,01,04,0000,036|N,037|N,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,12-23-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,143011|0008|LEPLIAGE|1911089001|1.0|PVC|01||||,,12,N
5342,admin,2015/12/28 오전 10:40:16.900000,admin,2017/01/19 오전 0:00:04.860000,4,,,,MDM ,,,1,,000814002766,EA,14,1410,141013,0008,041|0,Z001,4202221010,LE PLIAGE,1.0,PVC,,,,,01,04,0000,036|N,037|Y,038|N,,0,G,0,0,0,CM,0,CCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,12-23-2011 00:00:00,11-04-2015 00:00:00,RFC_MDM_E,S22982,141013|0008|LEPLIAGE|2450089001|1.0|PVC|01||||,,12,N
